Player ID,Name,Legal Name,Player Type,Status,Weight,Height,Birth Year,Birth Year Category,Birth State,Birth Country,Latitude,Longitude,Debut,Final Game,G,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,Bats,Throws
marquis01,Isidro Marquez,Isidro,AllStar,Active,220.0,71.0,1965,1960-1969,Sonora,Mexico,23.634501,-102.552784,1995-04-26,1995-05-12,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,R,R
marreco01,Connie Marrero,Conrado Eugenio,AllStar,Inactive,158.0,65.0,1911,1910-1919,Villa Clara,Cuba,21.521757,-77.781167,1950-04-21,1954-09-07,27.0,49.0,4.0,6.0,1.0,0.0,0.0,3.0,0.0,0.0,7.0,12.0,R,R
marreel01,Eli Marrero,Elieser,AllStar,Inactive,180.0,73.0,1973,1970-1979,La Habana,Cuba,21.521757,-77.781167,1997-09-03,2006-08-08,17.0,45.0,4.0,11.0,2.0,0.0,2.0,7.0,4.0,0.0,2.0,13.0,R,R
marsaar01,Armando Marsans,Armando,AllStar,Inactive,157.0,70.0,1887,1880-1889,Matanzas,Cuba,21.521757,-77.781167,1911-07-04,1918-07-13,58.0,138.0,17.0,36.0,2.0,2.0,0.0,11.0,11.0,0.0,15.0,11.0,R,R
marteal01,Alfredo Marte,Alfredo,AllStar,Inactive,200.0,71.0,1989,1980-1989,Distrito Nacional,D.R.,18.735693,-70.162651,2013-04-02,2015-06-23,22.0,43.0,4.0,8.0,3.0,0.0,0.0,4.0,0.0,0.0,4.0,12.0,R,R
martean01,Andy Marte,Andy Manuel,AllStar,Inactive,205.0,73.0,1983,1980-1989,Hermanas Mirabal,D.R.,18.735693,-70.162651,2005-06-07,2014-08-06,24.0,57.0,3.0,8.0,2.0,1.0,0.0,4.0,0.0,1.0,7.0,13.0,R,R
marteda01,Damaso Marte,Damaso,AllStar,Active,215.0,74.0,1975,1970-1979,Distrito Nacional,D.R.,18.735693,-70.162651,1999-06-30,2010-07-07,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,L,L
marteje01,Jefry Marte,Jefry Leonal,AllStar,Inactive,220.0,73.0,1991,1990-1999,La Romana,D.R.,18.735693,-70.162651,2015-07-05,2015-10-04,33.0,80.0,9.0,17.0,4.0,0.0,4.0,11.0,0.0,0.0,8.0,22.0,R,R
marteke01,Ketel Marte,Ketel Ricardo,AllStar,Inactive,165.0,73.0,1993,1990-1999,Peravia,D.R.,18.735693,-70.162651,2015-07-31,2015-10-04,57.0,219.0,25.0,62.0,14.0,3.0,2.0,17.0,8.0,4.0,24.0,43.0,B,R
martelu01,Luis Marte,Luis Alfredo,AllStar,Inactive,200.0,71.0,1986,1980-1989,San Cristobal,D.R.,18.735693,-70.162651,2011-09-01,2012-10-03,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,R,R
martest01,Starling Marte,Starling Javier,AllStar,Inactive,185.0,73.0,1988,1980-1989,Distrito Nacional,D.R.,18.735693,-70.162651,2012-07-26,2015-10-04,47.0,167.0,18.0,43.0,3.0,6.0,5.0,17.0,12.0,5.0,8.0,50.0,R,R
